kit_id,transect_location,delta_do_hr,d_pco2,d_pch4,d_pn2o,sal_psu,ph,orp_mv,alk_mgl_caco3,sulfate_ppm,nitrate_ppm,npoc_mgl,tdn_mgl,SUVA254,FI,HIX,gwc_perc,loi_perc,bulk_density_g_cm3,tc_perc,tn_perc,latitude,longitude,macrophytes,system,rotten_eggs
K018,Sediment,0.5715116908342763,-3604.796163682864,-1.9798434782608696,-0.1952065012787722,20.46,7.77,314,73,1590.387,5.475,3.03,0.314,,,,18,0,,,,37.2192,-76.4136,1,1,1
K018,Transition,0.3424971155988647,-1734.4885722404906,-1.9205279503105588,-1.1780434782608695,20.46,7.77,314,73,1590.387,5.475,3.03,0.314,,,,58,6,0.9931889427224634,3.19,0.23,37.2192,-76.4136,1,1,1
K018,Upland,1.2033642126852215,,,,20.46,7.77,314,73,1590.387,5.475,3.03,0.314,,,,87,28,0.4171122994652407,10.82,1.47,37.2192,-76.4136,1,1,1
K018,Wetland,0.28914298015106427,2600.6575630252105,-1.0189991596638652,1.145331697478992,20.46,7.77,314,73,1590.387,5.475,3.03,0.314,,,,37,2,1.489553422561312,1.04,0.09,37.2192,-76.4136,1,1,1
K025,Sediment,0.40136713309302746,15554.933777551425,-0.8934953116600176,20.965303534900826,2.65,6.44,334,40,44.71,-2.173,5.64,0.622,,,,38,6,,,,38.8873,-76.5621,1,3,1
K025,Transition,3.0232248312177963,2856.1297852474345,-1.951138716356108,58.48883062777575,2.65,6.44,334,40,44.71,-2.173,5.64,0.622,,,,173,29,0.4058608058608059,7.71,0.62,38.8873,-76.5621,1,3,1
K025,Upland,0.6911250767478809,-16464.96791536114,0.022491900001107457,-0.25653890607204644,2.65,6.44,334,40,44.71,-2.173,5.64,0.622,,,,22,19,0.701639344262295,6.27,0.42,38.8873,-76.5621,1,3,1
K025,Wetland,3.8586959046096534,-12113.618652323508,-1.7067819321809057,3.1470414738631174,2.65,6.44,334,40,44.71,-2.173,5.64,0.622,,,,150,17,0.4655015123101817,3.59,0.32,38.8873,-76.5621,1,3,1
K015,Sediment,72.1495991688935,-2809.0955425648517,-2.5775,-1.2675,16.05,7.29,334,67,1264.167,7.641,4.36,0.437,,,,213,17,,,,37.4147,-76.7161,1,1,1
K015,Transition,62.10524210484208,10406.257563025209,-5.549034873949578,6.913560268907563,16.05,7.29,334,67,1264.167,7.641,4.36,0.437,,,,71,10,0.939766081871345,2.48,0.17,37.4147,-76.7161,1,1,1
