File_Name,File_Description,Precision,Missing_Value_Codes,File_Path
ec1_dd.csv,data dictionary of each column name present in the data package,NA,NA,/ec1_dd.csv
ec1_data_collectionlevel.csv,data taken at ther time of individual sample collection,NA,NA,/ec1_metadata/ec1_data_collectionlevel.csv
ec1_flmd.csv,file level metadata of the data package,NA,NA,/ec1_flmd.csv
ec1_metadata_collectionlevel.csv,metadata taken at the time of individual sample collection,NA,NA,/ec1_metadata/ec1_metadata_collectionlevel.csv
ec1_metadata_igsn.csv,International Generic Sample Number metadata for all kit samples; https://www.geosamples.org/about,NA,NA,/ec1_metadata/ec1_metadata_igsn.csv
ec1_metadata_kitlevel.csv,metadata taken on the data of entire kit collection,NA,NA,/ec1_metadata/ec1_metadata_kitlevel.csv
ec1_sediment_gwc_L2.csv,Gravimetric Water Content of sediment samples,1,NA,/ec1_sediment/ec1_sediment_gwc_L2.csv
ec1_sample_catalog.csv,"Sample catalog for a given analyte, flags provided for any non-available sample data. If data is provided and text reads anything other than ""data available"", this constitutes warnings provided for any samples diverging from normal protocols (e.g. less than 3 replicate values used for total carbon). Values ""not applicable"" mean that the analysis type is not conducted on that sample type",NA,NA,/ec1_metadata/ec1_sample_catalog.csv
ec1_soil_bulkdensity_L2.csv,Bulk density of soil samples,0.1,NA,/ec1_soil/ec1_soil_bulkdensity_L2.csv
ec1_soil_cond_L2.csv,Conductivity of soil samples,0.1,NA,/ec1_soil/ec1_soil_cond_L2.csv
ec1_soil_gwc_L2.csv,Gravimetric Water Content of soil samples,1,NA,/ec1_soil/ec1_soil_gwc_L2.csv
ec1_soil_ph_L2.csv,pH of soil samples,0.01,NA,/ec1_soil/ec1_soil_ph_L2.csv
ec1_soil_tc_L2.csv,"Total Carbon of soil, as percentage by weight",0.001,NA,/ec1_soil/ec1_soil_tc_L2.csv
ec1_soil_tn_L2.csv,"Total Nitrogen of soil, as percentage by weight",0.001,NA,/ec1_soil/ec1_soil_tn_L2.csv
ec1_water_alkalinity_L2.csv,Alkalinity of surface water samples in milligrams per liter of CaCO3,1,NA,/ec1_water/ec1_water_alkalinity_L2.csv
K004_DilCorr_Abs.dat,Dilution Corrected Absorbance for K004,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K004_DilCorr_Abs.dat
K008_DilCorr_Abs.dat,Dilution Corrected Absorbance for K008,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K008_DilCorr_Abs.dat
K009_DilCorr_Abs.dat,Dilution Corrected Absorbance for K009,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K009_DilCorr_Abs.dat
K010_DilCorr_Abs.dat,Dilution Corrected Absorbance for K010,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K010_DilCorr_Abs.dat
K011_DilCorr_Abs.dat,Dilution Corrected Absorbance for K011,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K011_DilCorr_Abs.dat
K012_DilCorr_Abs.dat,Dilution Corrected Absorbance for K012,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K012_DilCorr_Abs.dat
K013_DilCorr_Abs.dat,Dilution Corrected Absorbance for K013,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K013_DilCorr_Abs.dat
K015_DilCorr_Abs.dat,Dilution Corrected Absorbance for K015,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K015_DilCorr_Abs.dat
K016_DilCorr_Abs.dat,Dilution Corrected Absorbance for K016,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K016_DilCorr_Abs.dat
K017_DilCorr_Abs.dat,Dilution Corrected Absorbance for K017,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K017_DilCorr_Abs.dat
K018_DilCorr_Abs.dat,Dilution Corrected Absorbance for K018,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K018_DilCorr_Abs.dat
K019_DilCorr_Abs.dat,Dilution Corrected Absorbance for K019,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K019_DilCorr_Abs.dat
K020_DilCorr_Abs.dat,Dilution Corrected Absorbance for K020,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K020_DilCorr_Abs.dat
K021_DilCorr_Abs.dat,Dilution Corrected Absorbance for K021,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K021_DilCorr_Abs.dat
K022_DilCorr_Abs.dat,Dilution Corrected Absorbance for K022,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K022_DilCorr_Abs.dat
K023_DilCorr_Abs.dat,Dilution Corrected Absorbance for K023,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K023_DilCorr_Abs.dat
K024_DilCorr_Abs.dat,Dilution Corrected Absorbance for K024,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K024_DilCorr_Abs.dat
K025_DilCorr_Abs.dat,Dilution Corrected Absorbance for K025,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K025_DilCorr_Abs.dat
K026_DilCorr_Abs.dat,Dilution Corrected Absorbance for K026,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K026_DilCorr_Abs.dat
K029_DilCorr_Abs.dat,Dilution Corrected Absorbance for K029,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K029_DilCorr_Abs.dat
K030_DilCorr_Abs.dat,Dilution Corrected Absorbance for K030,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K030_DilCorr_Abs.dat
K033_DilCorr_Abs.dat,Dilution Corrected Absorbance for K033,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K033_DilCorr_Abs.dat
K034_DilCorr_Abs.dat,Dilution Corrected Absorbance for K034,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K034_DilCorr_Abs.dat
K035_DilCorr_Abs.dat,Dilution Corrected Absorbance for K035,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K035_DilCorr_Abs.dat
K036_DilCorr_Abs.dat,Dilution Corrected Absorbance for K036,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K036_DilCorr_Abs.dat
K037_DilCorr_Abs.dat,Dilution Corrected Absorbance for K037,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K037_DilCorr_Abs.dat
K038_DilCorr_Abs.dat,Dilution Corrected Absorbance for K038,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K038_DilCorr_Abs.dat
K039_DilCorr_Abs.dat,Dilution Corrected Absorbance for K039,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K039_DilCorr_Abs.dat
K040_DilCorr_Abs.dat,Dilution Corrected Absorbance for K040,NA,NA,/ec1_water/ec1_water_cdom_L2/ec1_water_absorbance_L2/K040_DilCorr_Abs.dat
