IGSN,Sample Name,Sample Type,Material,Classification,Field Name,Description,Age Min,Age Max,Age Unit,collection Method,Collection Method Descr,Size,Size Unit,Geological Age,Geological Unit,Comment,Purpose,Release Date,Latitude,Latitude End,Longitude,Longitude End,Elevation,Elevation End,Elevation Unit,Depth Min,Depth Max,Depth Scale,Nav Type Name,Physiographic Feature,Name of Physiographic Feature,Biome,Location Description,Locality,Locality Description,Country,State/Province,City,Field Program/Cruise,Platform Type,Platform Name,Platform Description,Launch Type Name,Launch Platform Name,Launch Id,Collector/Chief Scientist,Collector/Chief Scientist Detail,Collection date,collection End Date,collection Start Time,collection End Time,Collection date precision,Current Archive,Current Archive Contact,Original Archive,Original Archive Contact,Cur Registrant Name,Org Registrant Name,classification Comment,Is Archived,URL
IEEXG0001,EC1_K001_WATER_40ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0001
IEEXG0002,EC1_K001_WATER_15ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0002
IEEXG0003,EC1_K001_WATER_1L_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0003
IEEXG0004,EC1_K001_WATER_125ML_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0004
IEEXG0005,EC1_K001_WATER_FILTER,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0005
IEEXG0006,EC1_K001_SEDIMENT_JAR,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0006
IEEXG0007,EC1_K001_SEDIMENT_BAG,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.6228,NA,-83.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,"Estuary, Lacestuary",Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0007
IEEXG0008,EC1_K001_WETLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0008
IEEXG0009,EC1_K001_WETLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG0009
IEEXG000A,EC1_K001_WETLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.62182,NA,-83.23883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Wetland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000A
IEEXG000B,EC1_K001_UPLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.61511,NA,-83.22979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000B
IEEXG000C,EC1_K001_UPLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,41.61511,NA,-83.22979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Upland,Crane Creek,Great Lakes,United States,OH,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Donnie Day,NA,12/14/2021,12/14/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG000C
