Wavelength_nm	Dilution Corrected Absorbance
230	1.037375
233	0.9908658
236	0.95301
239	0.9157635
242	0.885609
245	0.8575824
248	0.833208
251	0.8115144
254	0.7926942
257	0.7736556
260	0.7543089
263	0.7342935
266	0.7133031
269	0.6917388
272	0.6692904
275	0.6462327
278	0.62247
281	0.5992059
284	0.5756982
287	0.5525871
290	0.5319276
293	0.5119458
296	0.4945821
299	0.4752783
302	0.4561098
305	0.4384554
308	0.4217496
311	0.4056096
314	0.3900372
317	0.3756135
320	0.3608724
323	0.3467799
326	0.3333609
329	0.3208194
332	0.3088506
335	0.2975597
338	0.2865567
341	0.2755115
344	0.2652003
347	0.255134
350	0.2454319
353	0.235286
356	0.2256375
359	0.2162923
362	0.2070273
365	0.1975967
368	0.1886677
371	0.1793885
374	0.1703914
377	0.162055
380	0.1541536
383	0.1467493
386	0.1393092
389	0.1320066
392	0.1252938
395	0.1191344
398	0.1136146
401	0.108371
404	0.1033485
407	0.09843696
410	0.09377022
413	0.08927544
416	0.08504898
419	0.08115384
422	0.07736628
425	0.07406565
428	0.07083735
431	0.06760191
434	0.06452427
437	0.06175488
440	0.05913123
443	0.0567012
446	0.05433513
449	0.05212188
452	0.05035311
455	0.04865694
458	0.04720941
461	0.04570932
464	0.04448118
467	0.04324536
470	0.04212771
473	0.04098267
476	0.03984054
479	0.0383892
482	0.03708918
485	0.03596892
488	0.03481974
491	0.03364017
494	0.03255987
497	0.03140625
500	0.03029967
503	0.02939013
506	0.02854489
509	0.02765574
512	0.02679488
515	0.02601475
518	0.02514192
521	0.0243387
524	0.02357695
527	0.02279872
530	0.022152
533	0.02154871
536	0.02096533
539	0.02036042
542	0.0198072
545	0.01918788
548	0.01858249
551	0.01814874
554	0.01770883
557	0.01726344
560	0.01697399
563	0.01663229
566	0.01624058
569	0.01586681
572	0.01551047
575	0.01512751
578	0.0147775
581	0.01444286
584	0.01416229
587	0.01401369
590	0.01388095
593	0.01358435
596	0.01310899
599	0.01281251
602	0.01262042
605	0.01243618
608	0.01226834
611	0.01203803
614	0.01181783
617	0.01152756
620	0.01131377
623	0.01109497
626	0.01090896
629	0.01070525
632	0.01061874
635	0.01039224
638	0.01016483
641	0.009986853
644	0.009884103
647	0.009783306
650	0.00956955
653	0.009398766
656	0.00924846
659	0.009252903
662	0.009219972
665	0.009108369
668	0.008999379
671	0.008917767
674	0.008956272
677	0.008786742
680	0.008555517
683	0.008316102
686	0.008232114
689	0.008138658
692	0.007879542
695	0.007599828
698	0.007424196
701	0.007450734
704	0.007498656
707	0.007622076
710	0.007597359
713	0.007498404
716	0.007247922
719	0.006888687
722	0.006725844
725	0.006808341
728	0.007209858
731	0.007586337
734	0.007857786
737	0.007919889
740	0.007837185
743	0.007856784
746	0.007705527
749	0.007430511
752	0.007257996
755	0.007227834
758	0.00711618
761	0.006956184
764	0.006920109
767	0.007123308
770	0.006894939
773	0.006947715
776	0.006695406
779	0.00659037
782	0.006644406
785	0.006937722
788	0.006751188
791	0.006518295
794	0.00657507
797	0.006548085
800	0.006634935
