#--- Experiment --------------------------------------------------------------------------
#K026_Drawdown_GHG_Analysis
#The test of the study plot K026, looking at the drawdown of oxygen in 4 sub-areas (Sediment, Upland, Wetland, and Transition).
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XB7-535-216
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/3/2021	12/31/2000	22.393532	53.500000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1009.690979	20.390999	46.375999	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (mg/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
03-11-2021	15:10:03.501	24.227	7.745	22.385	274	0	OK	03-11-2021	15:10:03.501	24.227	20.424	OK	03-11-2021	15:10:03.501	24.227	1009	OK
03-11-2021	15:10:33.498	54.224	7.744	22.388	274	0	OK	03-11-2021	15:10:33.498	54.224	20.420	OK	03-11-2021	15:10:33.498	54.224	1009	OK
03-11-2021	15:11:03.503	84.229	6.198	25.030	310	0	OK	03-11-2021	15:11:03.503	84.229	20.422	OK	03-11-2021	15:11:03.503	84.229	1009	OK
03-11-2021	15:11:33.499	114.225	5.537	26.395	333	0	OK	03-11-2021	15:11:33.499	114.225	20.422	OK	03-11-2021	15:11:33.499	114.225	1009	OK
03-11-2021	15:12:03.498	144.224	4.999	27.641	354	0	OK	03-11-2021	15:12:03.498	144.224	20.425	OK	03-11-2021	15:12:03.498	144.224	1009	OK
03-11-2021	15:12:33.503	174.229	4.573	28.731	372	0	OK	03-11-2021	15:12:33.503	174.229	20.421	OK	03-11-2021	15:12:33.503	174.229	1009	OK
03-11-2021	15:13:03.502	204.228	4.107	30.045	392	0	OK	03-11-2021	15:13:03.502	204.228	20.420	OK	03-11-2021	15:13:03.502	204.228	1009	OK
03-11-2021	15:13:33.503	234.229	3.671	31.404	412	0	OK	03-11-2021	15:13:33.503	234.229	20.421	OK	03-11-2021	15:13:33.503	234.229	1009	OK
03-11-2021	15:14:03.501	264.227	3.233	32.929	437	0	OK	03-11-2021	15:14:03.501	264.227	20.420	OK	03-11-2021	15:14:03.501	264.227	1009	OK
03-11-2021	15:14:33.504	294.230	2.933	34.077	453	0	OK	03-11-2021	15:14:33.504	294.230	20.414	OK	03-11-2021	15:14:33.504	294.230	1009	OK
03-11-2021	15:15:03.504	324.230	2.615	35.398	471	0	OK	03-11-2021	15:15:03.504	324.230	20.416	OK	03-11-2021	15:15:03.504	324.230	1009	OK
03-11-2021	15:15:33.503	354.228	2.250	37.074	493	0	OK	03-11-2021	15:15:33.503	354.228	20.410	OK	03-11-2021	15:15:33.503	354.228	1009	OK
03-11-2021	15:16:03.503	384.229	1.895	38.885	515	0	OK	03-11-2021	15:16:03.503	384.229	20.413	OK	03-11-2021	15:16:03.503	384.229	1009	OK
03-11-2021	15:16:33.504	414.230	1.572	40.728	536	0	OK	03-11-2021	15:16:33.504	414.230	20.410	OK	03-11-2021	15:16:33.504	414.230	1009	OK
03-11-2021	15:17:03.503	444.228	1.294	42.475	556	0	OK	03-11-2021	15:17:03.503	444.228	20.410	OK	03-11-2021	15:17:03.503	444.228	1009	OK
03-11-2021	15:17:33.507	474.233	1.035	44.271	576	0	OK	03-11-2021	15:17:33.507	474.233	20.409	OK	03-11-2021	15:17:33.507	474.233	1009	OK
