#--- Experiment --------------------------------------------------------------------------
#K034_Drawdown_GHG_Analysis
#The test of the study plot K034, looking at the drawdown of oxygen in 4 sub-areas (Sediment, Upland, Wetland, and Transition).
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.3.1406   www.pyroscience.com
#WE37639
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2 [A] FSO2-C4 SN:24E144015D64A6DD Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.29°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
04-11-2021	14:14:57.796	0.017	20.325	OK
04-11-2021	14:15:27.794	30.015	20.322	OK
04-11-2021	14:15:57.796	60.018	20.325	OK
04-11-2021	14:16:27.795	90.016	20.325	OK
04-11-2021	14:16:57.794	120.015	20.326	OK
04-11-2021	14:17:27.794	150.016	20.329	OK
04-11-2021	14:17:57.796	180.018	20.328	OK
04-11-2021	14:18:27.795	210.017	20.328	OK
04-11-2021	14:18:57.795	240.017	20.328	OK
04-11-2021	14:19:27.796	270.017	20.328	OK
04-11-2021	14:19:57.797	300.019	20.328	OK
04-11-2021	14:20:27.798	330.019	20.322	OK
04-11-2021	14:20:57.798	360.019	20.323	OK
04-11-2021	14:21:27.799	390.020	20.320	OK
04-11-2021	14:21:57.796	420.017	20.324	OK
04-11-2021	14:22:27.798	450.019	20.317	OK
04-11-2021	14:22:57.797	480.018	20.322	OK
04-11-2021	14:23:27.798	510.019	20.320	OK
04-11-2021	14:23:57.797	540.018	20.317	OK
04-11-2021	14:24:27.799	570.021	20.313	OK
04-11-2021	14:24:57.800	600.022	20.313	OK
04-11-2021	14:25:27.798	630.019	20.312	OK
04-11-2021	14:25:57.799	660.021	20.314	OK
04-11-2021	14:26:27.800	690.021	20.316	OK
04-11-2021	14:26:57.800	720.021	20.318	OK
04-11-2021	14:27:27.802	750.024	20.323	OK
04-11-2021	14:27:57.802	780.024	20.321	OK
04-11-2021	14:28:27.803	810.024	20.324	OK
04-11-2021	14:28:57.803	840.024	20.329	OK
04-11-2021	14:29:27.816	870.037	20.327	OK
04-11-2021	14:29:57.802	900.024	20.328	OK
04-11-2021	14:30:27.805	930.027	20.330	OK
04-11-2021	14:30:57.805	960.026	20.333	OK
04-11-2021	14:31:27.804	990.026	20.335	OK
04-11-2021	14:31:57.806	1020.027	20.342	OK
04-11-2021	14:32:27.807	1050.028	20.338	OK
04-11-2021	14:32:57.809	1080.030	20.344	OK
04-11-2021	14:33:27.808	1110.029	20.348	OK
04-11-2021	14:33:57.810	1140.032	20.350	OK
04-11-2021	14:34:27.809	1170.031	20.351	OK
04-11-2021	14:34:57.808	1200.029	20.355	OK
04-11-2021	14:35:27.808	1230.029	20.357	OK
04-11-2021	14:35:57.809	1260.031	20.356	OK
04-11-2021	14:36:27.809	1290.031	20.360	OK
04-11-2021	14:36:57.812	1320.033	20.359	OK
04-11-2021	14:37:27.810	1350.031	20.363	OK
04-11-2021	14:37:57.809	1380.030	20.362	OK
04-11-2021	14:38:27.811	1410.032	20.370	OK
